original_paper	cite_titles	links
Inverting the model of genomics data sharing with the NHGRI Genomic Data Science Analysis,...	Deciphering the impact of genomic variation on function	https://www.nature.com/articles/s41586-024-07510-0
Inverting the model of genomics data sharing with the NHGRI Genomic Data Science Analysis,...	The Human Pangenome Project: a global resource to map genomic diversity	https://www.nature.com/articles/s41586-022-04601-8
Inverting the model of genomics data sharing with the NHGRI Genomic Data Science Analysis,...	The Galaxy platform for accessible, reproducible, and collaborative data analyses: 2024 update	https://academic.oup.com/nar/article-abstract/52/W1/W83/7676834
Inverting the model of genomics data sharing with the NHGRI Genomic Data Science Analysis,...	[HTML][HTML] A draft human pangenome reference	https://www.nature.com/articles/s41586-023-05896-x
Inverting the model of genomics data sharing with the NHGRI Genomic Data Science Analysis,...	The complete sequence of a human Y chromosome	https://www.nature.com/articles/s41586-023-06457-y
Inverting the model of genomics data sharing with the NHGRI Genomic Data Science Analysis,...	The Galaxy platform for accessible, reproducible and collaborative biomedical analyses: 2022 update	https://academic.oup.com/nar/article-abstract/50/W1/W345/6572001
Inverting the model of genomics data sharing with the NHGRI Genomic Data Science Analysis,...	The Galaxy platform for accessible, reproducible and collaborative biomedical analyses: 2018 update	https://academic.oup.com/nar/article-abstract/46/W1/W537/5001157
Inverting the model of genomics data sharing with the NHGRI Genomic Data Science Analysis,...	A complete reference genome improves analysis of human genetic variation	https://www.science.org/doi/abs/10.1126/science.abl3533
Inverting the model of genomics data sharing with the NHGRI Genomic Data Science Analysis,...	[HTML][HTML] Current trends, limitations and future research in the fungi?	https://link.springer.com/article/10.1007/s13225-023-00532-5
Inverting the model of genomics data sharing with the NHGRI Genomic Data Science Analysis,...	Scalable Nanopore sequencing of human genomes provides a comprehensive view of haplotype-resolved variation and methylation	https://www.nature.com/articles/s41592-023-01993-x
