website	day	month	year	country	fullPageUrl
AnVIL Book: Getting Started	01	01	2024	South Africa	jhudatascience.org/AnVIL_Book_Getting_Started/step-3-add-terra-to-google-billing-account.html
AnVIL Book: Getting Started	01	01	2024	United States	jhudatascience.org/AnVIL_Book_Getting_Started/galaxy-step-by-step-guide.html
AnVIL Book: Getting Started	01	01	2026	China	jhudatascience.org/AnVIL_Book_Getting_Started/introduction.html
AnVIL Book: Getting Started	01	01	2026	China	jhudatascience.org/AnVIL_Book_Getting_Started/step-5-set-budgets-and-alerts.html
AnVIL Book: Getting Started	01	01	2026	China	jhudatascience.org/AnVIL_Book_Getting_Started/workspaces.html
AnVIL Book: Getting Started	01	02	2024	Romania	jhudatascience.org/AnVIL_Book_Getting_Started/overview-analysts.html
AnVIL Book: Getting Started	01	02	2024	United States	jhudatascience.org/AnVIL_Book_Getting_Started/access-your-workspaces.html
AnVIL Book: Getting Started	01	02	2024	United States	jhudatascience.org/AnVIL_Book_Getting_Started/clone-workspace.html
AnVIL Book: Getting Started	01	02	2024	United States	jhudatascience.org/AnVIL_Book_Getting_Started/create-a-new-workspace-1.html
AnVIL Book: Getting Started	01	02	2024	United States	jhudatascience.org/AnVIL_Book_Getting_Started/index.html
AnVIL Book: Getting Started	01	02	2024	United States	jhudatascience.org/AnVIL_Book_Getting_Started/introduction.html
AnVIL Book: Getting Started	01	02	2024	United States	jhudatascience.org/AnVIL_Book_Getting_Started/jupyter-notebook-video-tutorial.html
AnVIL Book: Getting Started	01	02	2024	United States	jhudatascience.org/AnVIL_Book_Getting_Started/jupyter-notebook.html
AnVIL Book: Getting Started	01	02	2024	United States	jhudatascience.org/AnVIL_Book_Getting_Started/overview-analysts.html
AnVIL Book: Getting Started	01	02	2024	United States	jhudatascience.org/AnVIL_Book_Getting_Started/overview-pis.html
AnVIL Book: Getting Started	01	02	2024	United States	jhudatascience.org/AnVIL_Book_Getting_Started/overview-pis.html.
AnVIL Book: Getting Started	01	02	2024	United States	jhudatascience.org/AnVIL_Book_Getting_Started/pis-and-lab-managers.html
AnVIL Book: Getting Started	01	02	2024	United States	jhudatascience.org/AnVIL_Book_Getting_Started/rstudio-video-tutorial.html
AnVIL Book: Getting Started	01	02	2024	United States	jhudatascience.org/AnVIL_Book_Getting_Started/rstudio.html
AnVIL Book: Getting Started	01	02	2024	United States	jhudatascience.org/AnVIL_Book_Getting_Started/workspaces.html
AnVIL Book: Getting Started	01	02	2025	United States	jhudatascience.org/AnVIL_Book_Getting_Started/consortia.html
AnVIL Book: Getting Started	01	02	2025	United States	jhudatascience.org/AnVIL_Book_Getting_Started/data-analysts.html
AnVIL Book: Getting Started	01	02	2025	United States	jhudatascience.org/AnVIL_Book_Getting_Started/faqs.html
AnVIL Book: Getting Started	01	02	2025	United States	jhudatascience.org/AnVIL_Book_Getting_Started/pis-and-lab-managers.html
AnVIL Book: Getting Started	01	02	2026	China	jhudatascience.org/AnVIL_Book_Getting_Started/access-your-workspaces.html
AnVIL Book: Getting Started	01	02	2026	China	jhudatascience.org/AnVIL_Book_Getting_Started/consortium-data-analysts-and-researchers.html
AnVIL Book: Getting Started	01	02	2026	China	jhudatascience.org/AnVIL_Book_Getting_Started/overview-videos.html
AnVIL Book: Getting Started	01	02	2026	China	jhudatascience.org/AnVIL_Book_Getting_Started/pis-step-1.html
AnVIL Book: Getting Started	01	02	2026	China	jhudatascience.org/AnVIL_Book_Getting_Started/step-6-add-users-and-workspaces.html
AnVIL Book: Getting Started	01	02	2026	United States	jhudatascience.org/AnVIL_Book_Getting_Started/index.html
AnVIL Book: Getting Started	01	02	2026	United States	jhudatascience.org/AnVIL_Book_Getting_Started/pis-and-lab-managers.html
AnVIL Book: Getting Started	01	03	2025	United States	jhudatascience.org/AnVIL_Book_Getting_Started/consortia.html
AnVIL Book: Getting Started	01	03	2025	United States	jhudatascience.org/AnVIL_Book_Getting_Started/data-analysts.html
AnVIL Book: Getting Started	01	03	2025	United States	jhudatascience.org/AnVIL_Book_Getting_Started/pis-and-lab-managers.html
AnVIL Book: Getting Started	01	04	2024	United States	jhudatascience.org/AnVIL_Book_Getting_Started/
AnVIL Book: Getting Started	01	04	2024	United States	jhudatascience.org/AnVIL_Book_Getting_Started/data-analysts-step-1.html
AnVIL Book: Getting Started	01	04	2024	United States	jhudatascience.org/AnVIL_Book_Getting_Started/data-analysts-wrap-up.html
AnVIL Book: Getting Started	01	04	2024	United States	jhudatascience.org/AnVIL_Book_Getting_Started/index.html
AnVIL Book: Getting Started	01	04	2024	United States	jhudatascience.org/AnVIL_Book_Getting_Started/overview-analysts.html
AnVIL Book: Getting Started	01	04	2024	United States	jhudatascience.org/AnVIL_Book_Getting_Started/step-2-set-up-terra.html
AnVIL Book: Getting Started	01	04	2024	United States	jhudatascience.org/AnVIL_Book_Getting_Started/step-3-link-external-accounts-optional.html
AnVIL Book: Getting Started	01	04	2025	Denmark	jhudatascience.org/AnVIL_Book_Getting_Started/faqs.html
AnVIL Book: Getting Started	01	04	2025	Denmark	jhudatascience.org/AnVIL_Book_Getting_Started/index.html
AnVIL Book: Getting Started	01	04	2025	Denmark	jhudatascience.org/AnVIL_Book_Getting_Started/introduction.html
AnVIL Book: Getting Started	01	04	2025	Denmark	jhudatascience.org/AnVIL_Book_Getting_Started/pis-and-lab-managers.html
AnVIL Book: Getting Started	01	04	2025	Iran	jhudatascience.org/AnVIL_Book_Getting_Started/bring-your-own-data.html
