website	activeUsers	newUsers	totalUsers	eventCountPerUser	screenPageViewsPerUser	sessions	averageSessionDuration	screenPageViews	engagementRate
AnVIL Book Champions	394	394	394	9.035532994923859	2.6015228426395938	464	104.35368669396551	1025	0.38362068965517243
AnVIL Book: AnVIL Demos	897	897	897	12.86510590858417	3.7313266443701227	1524	216.4621509402887	3347	0.39829396325459315
AnVIL Book: Data Subsetting	113	114	113	8.5929203539823	2.5929203539823007	136	94.2150869485294	293	0.3014705882352941
AnVIL Book: Epigenetics on AnVIL: Nature vs Nurture	195	194	195	6.292307692307692	1.676923076923077	251	67.90529952191234	327	0.24302788844621515
AnVIL Book: Getting Started	3652	3635	3654	11.094194961664842	3.102683461117196	5299	179.50752357558028	11331	0.4308360067937347
AnVIL Book: Instructor Guide	639	633	640	7.774647887323944	2.251956181533646	784	118.35620919387755	1439	0.29336734693877553
AnVIL Book: Molecular Phylogenetic Techniques	4794	4683	4798	10.561535252398832	2.9568210262828534	7362	449.5491096301277	14175	0.43466449334419993
AnVIL Book: SRA Data	184	184	184	7.081521739130435	1.951086956521739	234	803.6523411837607	359	0.23076923076923078
AnVIL Book: Urban Genomics: Identifying population structure among feral pigeon populations	177	177	177	6.677966101694915	2	196	68.54184361734693	354	0.1989795918367347
AnVIL CoFests 2024	283	283	283	11.434628975265017	3.374558303886926	413	115.24009399757868	955	0.3946731234866828
AnVIL Collection	421	427	421	8.855106888361044	2.2351543942992875	697	156.4094409153515	941	0.4031563845050215
AnVIL_Book_WDL	292	283	292	4.688356164383562	1.2636986301369864	315	26.614046946031745	369	0.1365079365079365
AnVIL_Outreach_Dashboard	19	19	19	4.2105263157894735	1.2105263157894737	19	133.33426163157893	23	0.15789473684210525
Data_on_AnVIL	137	137	138	5.437956204379562	1.5766423357664234	161	41.410843186335406	216	0.14285714285714285
