website	day	month	year	country	fullPageUrl
AnVIL Book Champions	01	01	2026	China	jhudatascience.org/AnVIL_Book_Champions/
AnVIL Book Champions	01	01	2026	China	jhudatascience.org/AnVIL_Book_Champions/learn.html
AnVIL Book Champions	01	03	2026	China	jhudatascience.org/AnVIL_Book_Champions/about-the-authors.html
AnVIL Book Champions	01	06	2025	United States	jhudatascience.org/AnVIL_Book_Champions/
AnVIL Book Champions	01	06	2025	United States	jhudatascience.org/AnVIL_Book_Champions/index.html
AnVIL Book Champions	01	06	2025	United States	jhudatascience.org/AnVIL_Book_Champions/what-are-anvil-champions.html
AnVIL Book Champions	01	10	2025	China	jhudatascience.org/AnVIL_Book_Champions/learn.html
AnVIL Book Champions	01	10	2025	Singapore	jhudatascience.org/AnVIL_Book_Champions/learn.html
AnVIL Book Champions	01	11	2025	China	jhudatascience.org/AnVIL_Book_Champions/
AnVIL Book Champions	01	11	2025	China	jhudatascience.org/AnVIL_Book_Champions/learn.html
AnVIL Book Champions	01	11	2025	Singapore	jhudatascience.org/AnVIL_Book_Champions/
AnVIL Book Champions	01	11	2025	Singapore	jhudatascience.org/AnVIL_Book_Champions/learn.html
AnVIL Book Champions	02	01	2026	China	jhudatascience.org/AnVIL_Book_Champions/learn.html
AnVIL Book Champions	02	02	2026	China	jhudatascience.org/AnVIL_Book_Champions/learn.html
AnVIL Book Champions	02	03	2026	Singapore	jhudatascience.org/AnVIL_Book_Champions/communicate.html
AnVIL Book Champions	02	10	2024	United States	jhudatascience.org/AnVIL_Book_Champions/
AnVIL Book Champions	02	10	2024	United States	jhudatascience.org/AnVIL_Book_Champions/help.html
AnVIL Book Champions	02	10	2024	United States	jhudatascience.org/AnVIL_Book_Champions/learn.html
AnVIL Book Champions	02	11	2025	(not set)	jhudatascience.org/AnVIL_Book_Champions/communicate.html?gtm_latency=1
AnVIL Book Champions	02	11	2025	China	jhudatascience.org/AnVIL_Book_Champions/
AnVIL Book Champions	02	11	2025	China	jhudatascience.org/AnVIL_Book_Champions/help.html
AnVIL Book Champions	02	11	2025	China	jhudatascience.org/AnVIL_Book_Champions/learn.html
AnVIL Book Champions	02	12	2025	China	jhudatascience.org/AnVIL_Book_Champions/
AnVIL Book Champions	02	12	2025	China	jhudatascience.org/AnVIL_Book_Champions/learn.html
AnVIL Book Champions	02	12	2025	Singapore	jhudatascience.org/AnVIL_Book_Champions/
AnVIL Book Champions	02	12	2025	Singapore	jhudatascience.org/AnVIL_Book_Champions/learn.html
AnVIL Book Champions	03	01	2026	China	jhudatascience.org/AnVIL_Book_Champions/
AnVIL Book Champions	03	02	2025	United States	jhudatascience.org/AnVIL_Book_Champions/
AnVIL Book Champions	03	02	2025	United States	jhudatascience.org/AnVIL_Book_Champions/become-champion.html
AnVIL Book Champions	03	02	2025	United States	jhudatascience.org/AnVIL_Book_Champions/help.html
AnVIL Book Champions	03	02	2025	United States	jhudatascience.org/AnVIL_Book_Champions/learn.html
AnVIL Book Champions	03	02	2025	United States	jhudatascience.org/AnVIL_Book_Champions/onboard.html
AnVIL Book Champions	03	02	2025	United States	jhudatascience.org/AnVIL_Book_Champions/what-are-anvil-champions.html
AnVIL Book Champions	03	03	2026	China	jhudatascience.org/AnVIL_Book_Champions/about-the-authors.html
AnVIL Book Champions	03	10	2024	United States	jhudatascience.org/AnVIL_Book_Champions/
AnVIL Book Champions	03	10	2024	United States	jhudatascience.org/AnVIL_Book_Champions/become-champion.html
AnVIL Book Champions	03	10	2024	United States	jhudatascience.org/AnVIL_Book_Champions/index.html
AnVIL Book Champions	03	10	2024	United States	jhudatascience.org/AnVIL_Book_Champions/learn.html
AnVIL Book Champions	03	10	2024	United States	jhudatascience.org/AnVIL_Book_Champions/what-are-anvil-champions.html
AnVIL Book Champions	03	11	2025	United States	jhudatascience.org/AnVIL_Book_Champions/
AnVIL Book Champions	03	12	2024	United States	jhudatascience.org/AnVIL_Book_Champions/
AnVIL Book Champions	03	12	2024	United States	jhudatascience.org/AnVIL_Book_Champions/what-are-anvil-champions.html
AnVIL Book Champions	03	12	2025	China	jhudatascience.org/AnVIL_Book_Champions/learn.html
AnVIL Book Champions	03	12	2025	Singapore	jhudatascience.org/AnVIL_Book_Champions/learn.html
AnVIL Book Champions	04	01	2026	China	jhudatascience.org/AnVIL_Book_Champions/about-the-authors.html
AnVIL Book Champions	04	01	2026	China	jhudatascience.org/AnVIL_Book_Champions/become-champion.html
AnVIL Book Champions	04	01	2026	China	jhudatascience.org/AnVIL_Book_Champions/communicate.html
AnVIL Book Champions	04	01	2026	China	jhudatascience.org/AnVIL_Book_Champions/learn.html
AnVIL Book Champions	04	03	2026	Sri Lanka	jhudatascience.org/AnVIL_Book_Champions/
AnVIL Book Champions	04	03	2026	Sri Lanka	jhudatascience.org/AnVIL_Book_Champions/about-the-authors.html
