website	activeUsers	newUsers	totalUsers	eventCountPerUser	screenPageViewsPerUser	sessions	averageSessionDuration	screenPageViews	engagementRate
AnVIL Book Champions	332	329	332	8.021084337349398	2.2740963855421685	401	113.23684722942643	755	0.35910224438902744
AnVIL Book: AnVIL Demos	627	625	627	15.28548644338118	4.457735247208931	1191	252.0670527388749	2795	0.4340890008396306
AnVIL Book: Data Subsetting	59	59	59	10.40677966101695	2.8983050847457625	82	142.02451579268293	171	0.4268292682926829
AnVIL Book: Epigenetics on AnVIL: Nature vs Nurture	135	134	135	6.703703703703703	1.7333333333333334	176	89.24698922727272	234	0.2784090909090909
AnVIL Book: Getting Started	2918	2903	2920	12.15318711446196	3.385195339273475	4447	198.6319018066112	9878	0.4555880368787947
AnVIL Book: Instructor Guide	363	359	363	9.606060606060606	2.683195592286501	484	168.89926033471073	974	0.39669421487603307
AnVIL Book: Molecular Phylogenetic Techniques	3771	3667	3775	9.971625563511004	2.638292230177672	6027	448.926839132736	9949	0.4595984735357558
AnVIL Book: SRA Data	117	117	117	9.11965811965812	2.4786324786324787	167	1124.3341433652695	290	0.2874251497005988
AnVIL Book: Urban Genomics: Identifying population structure among feral pigeon populations	79	79	79	10.531645569620252	3.240506329113924	98	133.61353098979595	256	0.29591836734693877
AnVIL CoFests 2024	228	227	228	13.24561403508772	3.9342105263157894	356	127.243250747191	897	0.43820224719101125
AnVIL Collection	375	377	375	9.226666666666667	2.344	638	168.9184130047022	879	0.40282131661442006
AnVIL_Book_WDL	160	152	160	4.4	1.13125	175	20.581496725714285	181	0.14285714285714285
AnVIL_Outreach_Dashboard	15	15	15	4.133333333333334	1.2	15	61.47010546666666	18	0.13333333333333333
Data_on_AnVIL	65	65	65	5.723076923076923	1.5384615384615385	78	26.525888525641022	100	0.1794871794871795
