repo	timestamp	count_clones	uniques_clones	count_views	uniques_views	repo_name
jhudsl/AnVIL_Template	2025-12-30	3	2	0	0	jhudsl/AnVIL_Template
jhudsl/AnVIL_Template	2025-12-31	0	0	1	1	jhudsl/AnVIL_Template
jhudsl/AnVIL_Template	2026-01-01	3	2	1	1	jhudsl/AnVIL_Template
jhudsl/AnVIL_Template	2026-01-02	0	0	1	1	jhudsl/AnVIL_Template
jhudsl/AnVIL_Template	2026-01-03	0	0	0	0	jhudsl/AnVIL_Template
jhudsl/AnVIL_Template	2026-01-04	0	0	0	0	jhudsl/AnVIL_Template
jhudsl/AnVIL_Template	2026-01-05	0	0	0	0	jhudsl/AnVIL_Template
jhudsl/AnVIL_Template	2026-01-06	0	0	0	0	jhudsl/AnVIL_Template
jhudsl/AnVIL_Template	2026-01-07	0	0	2	2	jhudsl/AnVIL_Template
jhudsl/AnVIL_Template	2026-01-08	0	0	0	0	jhudsl/AnVIL_Template
jhudsl/AnVIL_Template	2026-01-09	0	0	0	0	jhudsl/AnVIL_Template
jhudsl/AnVIL_Template	2026-01-10	2	2	1	1	jhudsl/AnVIL_Template
jhudsl/AnVIL_Template	2026-01-11	0	0	0	0	jhudsl/AnVIL_Template
jhudsl/AnVIL_Template	2026-01-12	0	0	0	0	jhudsl/AnVIL_Template
